year,area_1000ac,yield_lb_per_ac,pratio_cotton_corn,price_cotton_cents_lb,price_corn_dollar_bu
1990,12348.1,634,29.91228070175439,68.2,2.28
1991,14052.1,652,24.51476793248945,58.099999999999994,2.37
1992,13240,700,26.52173913043479,54.900000000000006,2.07
1993,13438.3,606,23.36,58.4,2.5
1994,13720.1,708,31.85840707964602,72,2.26
1995,16931.4,537,23.61111111111111,76.5,3.24
1996,14652.5,705,26.014760147601475,70.5,2.71
1997,13898,673,27.242798353909464,66.2,2.43
1998,13392.5,625,31.804123711340207,61.7,1.94
1999,14873.5,607,25.714285714285715,46.800000000000004,1.82
2000,15517.2,632,27.89189189189189,51.6,1.85
2001,15768.5,705,16.243654822335024,32,1.97
2002,13957.9,665,19.698275862068968,45.7,2.32
2003,13479.6,730,26.03305785123967,63,2.42
2004,13658.6,855,21.699029126213592,44.7,2.06
2005,14245.4,831,24.85,49.7,2
2006,15274,814,15.921052631578947,48.4,3.04
2007,10827.2,879,14.595238095238093,61.3,4.2
2008,9471,813,12.093596059113302,49.1,4.06
2009,9149.5,776,18.253521126760564,64.8,3.55
2010,10974.2,812,16.332046332046332,84.6,5.18
2011,14735.4,790,15.032154340836014,93.5,6.22
2012,12264.4,892,10.986937590711177,75.7,6.89
2013,10407,822,18.789237668161434,83.8,4.46
2014,11148.4,838,17.756756756756758,65.7,3.7
2015,8580.5,766,17.867036011080334,64.5,3.61
2016,10073.5,867,20.982142857142858,70.5,3.36
2017,12717.5,905,21.398809523809522,71.89999999999999,3.36
2018,14081.3,884,20.02770083102493,72.3,3.61
2019,13722.7,832,17.5,62.3,3.56
2020,12086,854,15.209713024282557,68.89999999999999,4.53
2021,11206.5,820,15.783333333333331,94.69999999999999,6
2022,13749,953,13.623853211009173,89.1,6.54
2023,10230,899,17.582417582417584,80,4.55
2024,11174,789,15.540229885057471,67.6,4.35
